35,AMERICANA,33686.94,0.811
52,AMERICANO DO BRASIL,12900.23,0.7
35,AMÉRICO BRASILIENSE,13036.61,0.751
35,AMÉRICO DE CAMPOS,9889.41,0.745
43,AMETISTA DO SUL,7120.09,0.682
23,AMONTADA,6185.24,0.606
52,AMORINÓPOLIS,9557.55,0.681
25,AMPARO,5102.35,0.606
35,AMPARO,37191.31,0.785
28,AMPARO DE SÃO FRANCISCO,6825.32,0.611
41,AMPÉRE,15370.06,0.709
27,ANADIA,4893.39,0.568
29,ANAGÉ,3258.01,0.54
41,ANAHY,12954,0.695
15,ANAJÁS,3850.03,0.484
21,ANAJATUBA,3254.83,0.581
35,ANALÂNDIA,23676.91,0.754
13,ANAMÃ,5074.55,0.594
17,ANANÁS,6240.67,0.671
15,ANANINDEUA,8594.01,0.718
52,ANÁPOLIS,33255.1,0.737
15,ANAPU,5417.43,0.548
21,ANAPURUS,5236.48,0.581
50,ANASTÁCIO,8588.8,0.663
50,ANAURILÂNDIA,13817.08,0.67
32,ANCHIETA,185795.37,0.73
42,ANCHIETA,17121.86,0.699
29,ANDARAÍ,3730.19,0.555
41,ANDIRÁ,17547.62,0.725
29,ANDORINHA,9364.63,0.588
35,ANDRADINA,24804.64,0.779
43,ANDRÉ DA ROCHA,29186.39,0.72
35,ANGATUBA,24632.74,0.719
50,ANGÉLICA,27128.82,0.697
26,ANGELIM,4639.15,0.572
42,ANGELINA,14069.05,0.687
29,ANGICAL,4638.98,0.625
22,ANGICAL DO PIAUÍ,3799.7,0.63
17,ANGICO,7927.94,0.648
24,ANGICOS,5382.7,0.624
33,ANGRA DOS REIS,33547.82,0.724
29,ANGUERA,2732.24,0.589
41,ÂNGULO,14138.18,0.721
52,ANHANGUERA,10897.5,0.725
35,ANHEMBI,16388.39,0.721
35,ANHUMAS,10811.05,0.741
52,ANICUNS,15453.81,0.714
22,ANÍSIO DE ABREU,3257.49,0.594
42,ANITA GARIBALDI,8792.31,0.688
42,ANITÁPOLIS,11935.31,0.674
13,ANORI,3940.46,0.561
43,ANTA GORDA,14667.99,0.74
29,ANTAS,3403.51,0.592
41,ANTONINA,15759.17,0.687
23,ANTONINA DO NORTE,4043.46,0.599
22,ANTÔNIO ALMEIDA,26341.14,0.62
29,ANTÔNIO CARDOSO,6350.97,0.561
42,ANTÔNIO CARLOS,39768.61,0.749
